gender,senior_citizen,partner,dependents,tenure,phone_service,internet_service,monthly_charges,contract,payment_method,total_charges,churn
Male,0,No,Yes,60,Yes,DSL,87.13,Month-to-month,Mailed check,5362.35,0
Male,0,No,No,7,Yes,Fiber optic,52.9,One year,Bank transfer (automatic),362.05,0
Male,0,No,Yes,9,No,DSL,85.18,One year,Mailed check,784.75,0
Female,1,Yes,No,14,Yes,No,60.05,Month-to-month,Bank transfer (automatic),800.81,1
Female,1,No,No,19,No,No,18.92,Month-to-month,Mailed check,330.3,1
Female,0,Yes,Yes,33,Yes,Fiber optic,41.59,Month-to-month,Credit card (automatic),1390.4,1
Male,0,No,No,69,Yes,No,22.32,One year,Credit card (automatic),1300.41,0
Male,0,Yes,No,47,Yes,Fiber optic,61.58,Two year,Credit card (automatic),3109.7,0
Female,1,Yes,Yes,27,Yes,Fiber optic,103.69,One year,Mailed check,2986.02,1
Female,0,Yes,No,15,Yes,DSL,93.28,One year,Electronic check,1467.62,0
Female,1,Yes,No,47,Yes,DSL,98.47,Month-to-month,Bank transfer (automatic),4859.09,0
Male,0,Yes,No,18,Yes,DSL,100.33,Month-to-month,Electronic check,1720.83,1
Male,0,Yes,No,71,Yes,Fiber optic,55.94,Two year,Mailed check,3771.03,0
Female,1,Yes,No,34,Yes,Fiber optic,69.61,Month-to-month,Electronic check,2445.37,1
Female,0,Yes,Yes,40,Yes,DSL,69.86,Month-to-month,Mailed check,2497.21,1
Male,0,No,No,65,Yes,Fiber optic,29.55,Month-to-month,Bank transfer (automatic),1999.46,0
Female,0,No,No,22,Yes,DSL,79.01,One year,Mailed check,1516.13,0
Female,1,No,No,34,Yes,DSL,91.46,Month-to-month,Mailed check,3260.67,1
Male,0,Yes,No,38,Yes,DSL,80.32,Month-to-month,Electronic check,2932.16,0
Female,0,Yes,No,19,Yes,Fiber optic,94.09,One year,Electronic check,1857.85,1
Male,0,No,No,3,Yes,Fiber optic,30.13,Month-to-month,Mailed check,85.71,1
Male,1,Yes,No,20,Yes,Fiber optic,95.66,Month-to-month,Credit card (automatic),1871.48,1
Female,1,Yes,No,8,Yes,DSL,39.23,Two year,Credit card (automatic),332.97,1
Female,1,No,No,49,Yes,Fiber optic,107.44,Two year,Credit card (automatic),4889.38,0
Male,0,No,No,0,No,No,42.98,Month-to-month,Electronic check,37.71,1
Female,1,Yes,No,23,Yes,DSL,68.18,Month-to-month,Electronic check,1322.97,1
Male,0,No,Yes,64,Yes,Fiber optic,67.7,Month-to-month,Mailed check,4217.52,0
Female,1,Yes,Yes,41,Yes,DSL,45.42,Month-to-month,Bank transfer (automatic),1822.89,0
Male,1,No,No,49,Yes,DSL,54.89,Two year,Bank transfer (automatic),2639.54,0
Female,1,Yes,No,48,Yes,Fiber optic,36.93,One year,Bank transfer (automatic),1470.69,1
Female,1,Yes,No,21,Yes,DSL,76.15,Month-to-month,Mailed check,1322.7,1
Female,1,No,Yes,46,Yes,Fiber optic,111.13,One year,Mailed check,5381.94,0
Female,0,Yes,Yes,16,No,No,50.29,Month-to-month,Credit card (automatic),805.31,0
Male,1,No,No,46,Yes,DSL,69.82,Month-to-month,Electronic check,2728.24,0
Female,1,Yes,No,49,Yes,DSL,105.91,Two year,Credit card (automatic),4356.17,0
Male,1,No,Yes,63,Yes,No,64.15,Month-to-month,Bank transfer (automatic),3484.06,1
Female,1,No,No,67,Yes,Fiber optic,102.79,Month-to-month,Electronic check,7092.15,1
Female,0,No,No,1,Yes,No,63.53,Two year,Credit card (automatic),64.04,0
Male,1,No,No,21,Yes,DSL,62.9,Month-to-month,Credit card (automatic),1302.47,0
Female,0,Yes,Yes,39,Yes,Fiber optic,34.04,Month-to-month,Bank transfer (automatic),1309.78,0
Female,1,No,No,23,Yes,No,30.75,Month-to-month,Electronic check,737.88,0
Male,1,Yes,No,45,Yes,DSL,80.37,Month-to-month,Electronic check,3279.21,0
Male,0,No,No,62,Yes,No,102.39,Month-to-month,Bank transfer (automatic),5737.36,1
Male,1,No,Yes,18,Yes,Fiber optic,31.81,Month-to-month,Electronic check,532.85,1
Male,1,No,No,65,Yes,No,110.83,Month-to-month,Electronic check,7760.93,0
Male,1,No,No,64,Yes,DSL,54.61,Month-to-month,Mailed check,3370.18,0
Female,0,No,No,66,Yes,Fiber optic,61.38,One year,Electronic check,3897.93,0
Female,0,Yes,No,5,Yes,DSL,109.23,Two year,Bank transfer (automatic),562.8,0
Male,1,No,No,21,Yes,No,109.42,One year,Mailed check,1990.59,1
Female,1,No,No,9,Yes,DSL,71.54,One year,Electronic check,595.83,1
Female,1,Yes,Yes,8,Yes,DSL,46.23,Two year,Mailed check,364.94,0
Male,1,No,No,3,Yes,No,35.54,Month-to-month,Electronic check,114.82,0
Female,0,Yes,Yes,32,Yes,DSL,45.7,Month-to-month,Electronic check,1257.9,0
Female,1,Yes,No,6,Yes,Fiber optic,97.62,Month-to-month,Mailed check,549.13,1
Female,0,Yes,No,21,Yes,DSL,51.11,Month-to-month,Mailed check,1132.83,0
Female,1,Yes,Yes,71,Yes,Fiber optic,88.85,Two year,Electronic check,6362.84,0
Female,1,No,Yes,64,No,DSL,37.91,Month-to-month,Bank transfer (automatic),2376.7,1
Male,1,No,Yes,68,Yes,Fiber optic,66.81,Two year,Mailed check,4029.02,0
Female,1,No,No,2,Yes,Fiber optic,53.91,Month-to-month,Bank transfer (automatic),93.66,1
Female,0,No,No,48,Yes,DSL,69.37,Month-to-month,Mailed check,3054.37,0
Male,0,Yes,No,46,Yes,DSL,76.13,Month-to-month,Bank transfer (automatic),3103.9,0
Female,0,Yes,Yes,9,Yes,DSL,119.08,Month-to-month,Bank transfer (automatic),1104.09,0
Male,1,Yes,Yes,66,Yes,Fiber optic,109.79,Month-to-month,Electronic check,7299.64,1
Male,0,No,Yes,29,Yes,DSL,88.98,One year,Bank transfer (automatic),2676.29,0
Male,1,Yes,No,71,Yes,DSL,33.68,Month-to-month,Bank transfer (automatic),2067.22,1
Female,0,No,No,8,Yes,DSL,111.74,Two year,Electronic check,805.06,0
Male,0,No,No,47,Yes,Fiber optic,109.04,Two year,Bank transfer (automatic),5226.47,0
Male,0,No,No,9,Yes,Fiber optic,108.44,Month-to-month,Credit card (automatic),841.79,1
Male,0,No,No,69,Yes,Fiber optic,66.86,Two year,Electronic check,3957.59,0
Female,0,Yes,No,44,Yes,No,35.41,Month-to-month,Credit card (automatic),1432.77,0
Female,0,No,No,5,Yes,Fiber optic,94.95,Month-to-month,Mailed check,412.31,1
Male,1,No,No,15,Yes,No,57.63,Month-to-month,Bank transfer (automatic),726.58,0
Male,1,No,No,26,Yes,Fiber optic,53.15,One year,Credit card (automatic),1245.54,0
Female,1,No,No,0,Yes,DSL,57.86,Month-to-month,Credit card (automatic),60.62,1
Male,0,No,Yes,0,Yes,No,75.03,One year,Bank transfer (automatic),62.63,1
Female,1,No,No,67,Yes,Fiber optic,52.02,Two year,Bank transfer (automatic),3370.98,1
Male,1,Yes,Yes,71,No,Fiber optic,88.37,Month-to-month,Electronic check,6063.34,1
Female,1,No,No,39,Yes,DSL,84.07,Two year,Electronic check,3141.08,0
Male,0,No,Yes,65,Yes,DSL,69.9,One year,Credit card (automatic),4322.83,0
Male,1,Yes,Yes,47,No,Fiber optic,23.51,Month-to-month,Mailed check,911.03,0
Female,1,No,Yes,2,Yes,Fiber optic,113.53,Month-to-month,Credit card (automatic),188.99,1
Male,0,Yes,No,52,Yes,Fiber optic,59.99,Month-to-month,Electronic check,2972.6,0
Female,0,No,No,1,Yes,Fiber optic,63.84,Month-to-month,Electronic check,68.42,1
Female,1,Yes,No,59,Yes,Fiber optic,64.52,One year,Electronic check,3525.27,1
Female,0,Yes,No,26,Yes,DSL,55.23,Month-to-month,Mailed check,1353.85,0
Female,0,No,No,10,Yes,DSL,86.81,Month-to-month,Electronic check,933.5,0
Female,1,Yes,No,18,Yes,DSL,19.42,One year,Mailed check,357.45,0
Male,0,Yes,Yes,49,Yes,No,107.1,One year,Credit card (automatic),5354.06,0
Male,0,Yes,No,61,Yes,Fiber optic,28.45,Two year,Credit card (automatic),1650.81,0
Male,0,No,No,41,Yes,No,119.97,Month-to-month,Bank transfer (automatic),5181.71,1
Female,1,No,No,11,Yes,Fiber optic,82.06,One year,Electronic check,876.58,0
Male,0,No,No,65,Yes,Fiber optic,24.76,Month-to-month,Mailed check,1594.5,1
Male,1,Yes,No,57,Yes,Fiber optic,75.37,One year,Bank transfer (automatic),4402.48,0
Male,0,No,Yes,29,Yes,No,51.79,Month-to-month,Electronic check,1390.34,1
Male,1,Yes,No,40,Yes,No,115.21,Month-to-month,Mailed check,4921.08,0
Male,1,No,No,70,Yes,Fiber optic,95.06,Two year,Credit card (automatic),7165.79,1
Male,1,Yes,No,27,Yes,DSL,69.72,One year,Electronic check,1830.97,0
Female,1,Yes,No,1,Yes,Fiber optic,61.84,One year,Credit card (automatic),54.28,1
Female,0,Yes,Yes,10,Yes,DSL,119.58,Month-to-month,Electronic check,1221.48,1
Female,1,No,Yes,43,Yes,DSL,86.07,One year,Electronic check,3344.81,0
Male,1,No,Yes,72,Yes,Fiber optic,70.42,Month-to-month,Electronic check,4918.37,1
Female,1,Yes,Yes,54,Yes,No,58.59,Month-to-month,Credit card (automatic),2665.69,0
Male,1,No,Yes,45,No,DSL,51.11,Month-to-month,Bank transfer (automatic),2368.77,0
Female,1,No,No,23,Yes,DSL,89.95,Month-to-month,Bank transfer (automatic),2212.35,0
Female,0,Yes,No,32,Yes,No,77.96,Month-to-month,Mailed check,2106.79,0
Female,0,No,No,2,Yes,DSL,104.51,One year,Credit card (automatic),211.16,0
Male,0,No,No,27,Yes,DSL,74.46,Month-to-month,Bank transfer (automatic),2098.51,0
Male,0,Yes,Yes,45,Yes,Fiber optic,77.4,Two year,Bank transfer (automatic),2955.23,0
Female,1,No,No,66,No,No,66.69,Two year,Bank transfer (automatic),3891.7,0
Male,1,Yes,Yes,67,Yes,Fiber optic,95.79,Month-to-month,Bank transfer (automatic),5916.6,1
Male,0,No,No,59,No,Fiber optic,60.33,One year,Bank transfer (automatic),3693.16,0
Male,0,Yes,Yes,1,Yes,DSL,104.9,Month-to-month,Electronic check,99.48,1
Male,1,No,No,59,Yes,DSL,51.36,Two year,Credit card (automatic),2592.71,0
Male,1,Yes,No,15,Yes,Fiber optic,88.65,Month-to-month,Electronic check,1179.03,1
Male,1,No,No,44,No,No,109.08,Month-to-month,Credit card (automatic),4518.84,1
Female,1,No,No,69,Yes,DSL,96.45,Month-to-month,Mailed check,5525.08,0
Female,1,Yes,No,64,Yes,DSL,52.95,Two year,Electronic check,3334.78,0
Female,1,No,Yes,48,Yes,DSL,90.05,Month-to-month,Electronic check,3572.83,1
Male,0,No,No,21,Yes,DSL,39.11,Two year,Bank transfer (automatic),840.22,0
Female,1,No,No,38,Yes,DSL,23.93,Month-to-month,Mailed check,919.16,0
Male,0,Yes,No,51,Yes,DSL,98.72,One year,Credit card (automatic),5261.35,1
Male,0,No,No,37,Yes,Fiber optic,100.42,Month-to-month,Bank transfer (automatic),3199.1,1
Male,0,Yes,No,29,Yes,DSL,20.34,Month-to-month,Electronic check,576.1,0
Male,0,Yes,No,29,Yes,Fiber optic,114.68,Month-to-month,Mailed check,3402.43,1
Female,0,No,No,43,Yes,Fiber optic,63.48,Month-to-month,Bank transfer (automatic),2604.34,0
Male,1,No,Yes,2,Yes,No,110.34,One year,Credit card (automatic),188.46,1
Female,1,No,Yes,72,Yes,No,98.39,One year,Mailed check,5991.15,1
Male,0,Yes,Yes,7,Yes,Fiber optic,109.87,Month-to-month,Credit card (automatic),751.81,1
Female,1,No,No,71,No,DSL,103.0,Month-to-month,Electronic check,6942.8,0
Male,0,No,Yes,2,Yes,Fiber optic,117.35,Month-to-month,Bank transfer (automatic),249.18,1
Male,0,Yes,Yes,37,Yes,DSL,82.17,One year,Bank transfer (automatic),3152.17,0
Female,1,No,Yes,30,Yes,DSL,41.18,One year,Mailed check,1245.5,0
Female,0,Yes,No,41,Yes,DSL,57.74,Two year,Electronic check,2545.89,0
Male,1,Yes,Yes,31,Yes,No,94.69,Two year,Bank transfer (automatic),2937.15,0
Female,1,No,Yes,65,Yes,DSL,34.01,Month-to-month,Mailed check,1865.82,1
Male,0,No,No,1,Yes,Fiber optic,112.84,Month-to-month,Electronic check,94.8,1
Female,0,Yes,Yes,71,Yes,Fiber optic,38.94,Two year,Electronic check,2853.56,0
Female,1,Yes,No,50,Yes,Fiber optic,107.35,Month-to-month,Bank transfer (automatic),4904.73,0
Male,1,Yes,No,56,Yes,DSL,67.34,Month-to-month,Electronic check,3998.49,0
Female,1,No,No,10,Yes,No,103.74,Month-to-month,Mailed check,882.56,1
Male,0,Yes,No,4,Yes,Fiber optic,115.75,One year,Credit card (automatic),403.59,0
Male,0,No,No,28,Yes,Fiber optic,61.06,One year,Bank transfer (automatic),1745.62,0
Male,1,No,Yes,23,Yes,Fiber optic,89.05,Two year,Mailed check,2130.78,0
Male,1,Yes,Yes,57,No,No,41.13,Month-to-month,Mailed check,2451.01,0
Female,0,No,Yes,65,Yes,Fiber optic,99.68,Month-to-month,Electronic check,5479.95,1
Male,1,No,Yes,31,Yes,Fiber optic,101.63,Month-to-month,Mailed check,2896.18,0
Male,1,No,No,56,Yes,DSL,48.12,One year,Electronic check,2662.55,0
Female,0,Yes,Yes,4,Yes,DSL,20.46,Month-to-month,Electronic check,86.66,1
Male,0,Yes,Yes,54,Yes,DSL,61.98,Two year,Electronic check,2952.47,0
Female,1,Yes,No,7,Yes,DSL,35.34,Month-to-month,Bank transfer (automatic),241.46,0
Male,1,No,No,48,Yes,DSL,101.49,One year,Electronic check,4176.43,1
Female,0,No,Yes,27,Yes,DSL,44.63,Two year,Electronic check,1222.23,0
Female,0,Yes,Yes,30,No,No,114.26,Month-to-month,Credit card (automatic),2924.45,1
Female,1,Yes,Yes,20,Yes,Fiber optic,117.12,One year,Electronic check,2529.78,1
Male,0,No,Yes,29,Yes,No,110.7,Month-to-month,Bank transfer (automatic),2709.46,0
Male,1,Yes,No,63,Yes,Fiber optic,79.16,Two year,Mailed check,4978.04,0
Female,1,Yes,No,59,Yes,Fiber optic,45.28,Two year,Bank transfer (automatic),2730.37,0
Male,1,No,No,24,Yes,DSL,100.34,One year,Electronic check,2136.22,1
Female,0,Yes,No,21,Yes,Fiber optic,89.56,Month-to-month,Electronic check,1666.83,0
Male,0,Yes,No,37,Yes,DSL,117.67,Two year,Credit card (automatic),4244.94,0
Female,0,Yes,No,49,Yes,Fiber optic,56.48,Two year,Mailed check,2723.03,0
Female,1,Yes,Yes,13,Yes,No,23.99,One year,Electronic check,314.16,0
Male,0,No,Yes,53,No,No,119.84,Two year,Mailed check,6166.54,0
Male,0,No,No,69,Yes,DSL,103.5,Month-to-month,Mailed check,6179.98,0
Female,0,No,No,61,Yes,Fiber optic,40.59,Month-to-month,Electronic check,2625.24,0
Male,0,Yes,Yes,40,Yes,DSL,92.01,Month-to-month,Mailed check,3177.36,0
Female,0,No,Yes,23,Yes,DSL,18.07,Month-to-month,Mailed check,401.88,0
Male,1,Yes,No,23,Yes,DSL,74.9,Month-to-month,Bank transfer (automatic),1824.69,0
Female,1,No,Yes,54,Yes,DSL,55.01,One year,Credit card (automatic),3140.97,0
Female,0,Yes,No,33,Yes,Fiber optic,56.9,Month-to-month,Mailed check,1621.69,0
Male,0,No,No,7,No,Fiber optic,42.94,Month-to-month,Credit card (automatic),265.12,1
Female,0,Yes,No,49,Yes,DSL,46.03,One year,Mailed check,2202.42,0
Male,1,Yes,Yes,10,Yes,No,64.38,One year,Mailed check,584.35,0
Female,0,No,Yes,72,No,Fiber optic,43.31,Two year,Bank transfer (automatic),3149.6,0
Male,1,Yes,No,30,Yes,Fiber optic,65.58,Month-to-month,Bank transfer (automatic),1880.49,1
Male,0,Yes,No,24,Yes,Fiber optic,76.89,Two year,Electronic check,1640.86,0
Male,0,No,Yes,4,Yes,Fiber optic,90.53,Month-to-month,Credit card (automatic),335.64,1
Male,1,No,Yes,12,Yes,Fiber optic,87.07,Month-to-month,Credit card (automatic),1044.51,1
Male,1,Yes,No,69,Yes,Fiber optic,42.68,One year,Electronic check,3016.0,1
Female,1,No,No,39,Yes,No,22.0,Month-to-month,Mailed check,786.0,0
Male,1,No,No,65,Yes,DSL,102.93,One year,Bank transfer (automatic),5668.79,0
Female,1,No,No,69,Yes,Fiber optic,106.98,Month-to-month,Credit card (automatic),6730.95,1
Male,1,No,No,3,Yes,DSL,117.85,Month-to-month,Bank transfer (automatic),347.87,0
Male,0,No,No,27,Yes,No,115.89,Month-to-month,Electronic check,3183.96,1
Female,0,No,Yes,61,Yes,DSL,82.65,Month-to-month,Bank transfer (automatic),5287.24,0
Female,0,No,No,36,Yes,DSL,109.22,Month-to-month,Electronic check,4207.57,0
Male,0,No,No,37,Yes,No,63.7,Month-to-month,Bank transfer (automatic),2257.05,0
Male,0,Yes,Yes,41,Yes,Fiber optic,98.31,Month-to-month,Bank transfer (automatic),4227.63,0
Female,0,Yes,No,51,Yes,DSL,115.44,One year,Bank transfer (automatic),5228.87,0
Female,0,Yes,No,68,No,DSL,99.22,Month-to-month,Electronic check,6514.25,0
Female,1,No,Yes,64,Yes,Fiber optic,60.41,One year,Mailed check,3712.52,0
Male,0,Yes,No,45,Yes,No,56.53,One year,Bank transfer (automatic),2594.37,0
Male,1,No,No,42,Yes,Fiber optic,47.74,Month-to-month,Electronic check,2047.21,1
Female,0,No,No,26,Yes,DSL,55.44,Month-to-month,Electronic check,1288.92,1
Female,1,No,No,8,Yes,Fiber optic,101.7,One year,Electronic check,854.54,1
Male,1,Yes,No,51,Yes,Fiber optic,89.55,Two year,Credit card (automatic),4803.57,0
Male,0,No,No,0,No,DSL,43.49,Month-to-month,Mailed check,46.38,1
Male,0,No,No,50,No,No,90.58,Two year,Bank transfer (automatic),4252.67,0
Female,1,Yes,No,36,Yes,DSL,56.7,Month-to-month,Mailed check,2197.82,1
Male,1,No,No,57,Yes,No,74.89,Month-to-month,Credit card (automatic),4371.51,0
Male,0,Yes,No,69,Yes,Fiber optic,55.78,Month-to-month,Mailed check,3809.67,1
Male,1,No,No,40,Yes,DSL,71.21,Month-to-month,Electronic check,2655.81,1
Female,1,No,No,41,Yes,Fiber optic,92.44,Month-to-month,Electronic check,3937.97,1
Male,0,Yes,Yes,35,Yes,Fiber optic,92.58,Month-to-month,Electronic check,3300.82,1
Male,0,Yes,No,27,Yes,Fiber optic,94.82,Month-to-month,Credit card (automatic),2489.08,1
Male,0,Yes,No,6,Yes,Fiber optic,57.89,One year,Bank transfer (automatic),374.87,0
Male,1,Yes,No,2,No,DSL,88.43,Month-to-month,Bank transfer (automatic),156.5,1
Female,1,No,No,52,Yes,DSL,42.35,Two year,Bank transfer (automatic),2173.25,0
Male,1,Yes,No,66,Yes,Fiber optic,66.7,Two year,Credit card (automatic),3977.36,0
Male,1,Yes,Yes,3,Yes,DSL,77.48,Month-to-month,Credit card (automatic),218.27,1
Female,0,No,Yes,23,Yes,DSL,88.02,Month-to-month,Bank transfer (automatic),1838.46,1
Male,0,No,No,44,No,Fiber optic,111.02,Month-to-month,Electronic check,4430.51,1
Female,0,No,No,51,Yes,DSL,49.09,Two year,Electronic check,2298.23,0
Female,0,No,No,53,Yes,Fiber optic,104.22,Month-to-month,Bank transfer (automatic),4610.8,0
Male,1,Yes,No,50,Yes,No,49.73,Month-to-month,Bank transfer (automatic),2064.7,1
Female,1,No,No,6,Yes,No,74.29,Two year,Mailed check,449.52,0
Male,0,Yes,No,18,Yes,DSL,102.47,Month-to-month,Electronic check,1661.56,1
Female,1,No,No,34,Yes,Fiber optic,91.76,Month-to-month,Bank transfer (automatic),2575.48,1
Male,1,No,No,4,Yes,No,106.01,Two year,Mailed check,356.7,1
Female,0,No,No,25,Yes,Fiber optic,101.12,Two year,Electronic check,2201.69,0
Female,1,No,No,28,Yes,Fiber optic,46.19,Month-to-month,Credit card (automatic),1076.73,1
Female,1,No,No,71,Yes,Fiber optic,119.28,Month-to-month,Bank transfer (automatic),9027.81,0
Male,1,Yes,Yes,23,Yes,DSL,113.57,Month-to-month,Electronic check,2527.93,1
Male,1,No,Yes,70,No,DSL,61.88,Month-to-month,Electronic check,3995.67,1
Male,0,No,Yes,51,Yes,Fiber optic,22.82,Month-to-month,Bank transfer (automatic),1115.53,1
Male,1,No,No,50,Yes,DSL,48.96,Month-to-month,Mailed check,2079.17,1
Female,0,No,No,59,Yes,No,103.29,One year,Electronic check,6109.22,0
Male,1,Yes,No,61,No,Fiber optic,114.99,One year,Bank transfer (automatic),7520.08,0
Female,0,No,No,16,Yes,DSL,102.83,Two year,Bank transfer (automatic),1405.02,0
Female,0,Yes,Yes,30,Yes,Fiber optic,58.47,Two year,Electronic check,1507.96,0
Male,1,Yes,No,38,No,Fiber optic,23.77,Month-to-month,Mailed check,888.31,1
